"date","site","reads","reads_after","diff","per"
20220609,"TLB01",11365,4722,6643,42
20220609,"TLB02",14366,3696,10670,26
20220609,"TLC01",15054,10283,4771,68
20220609,"TLC02",8213,1054,7159,13
20220609,"TLC03",9899,1220,8679,12
20220609,"TLCG1",9363,6808,2555,73
20220609,"TLM01",20335,5460,14875,27
20220609,"TLM03",18843,8499,10344,45
20220609,"TLM04",8164,4826,3338,59
20220609,"TLM05",9011,5897,3114,65
20220609,"TLM06",12867,6414,6453,50
20220609,"TLM08",14557,8216,6341,56
20220609,"TLM09",17056,8943,8113,52
20220609,"TLM10",12221,5834,6387,48
20220610,"TLA01",12908,8149,4759,63
20220610,"TLA02",19050,4466,14584,23
20220610,"TLA04",51795,27514,24281,53
20220610,"TLM13",10984,4283,6701,39
20220610,"TLM14",5881,5242,639,89
20220610,"TLM15",12429,5176,7253,42
20220610,"TLM16",3491,2169,1322,62
20220610,"TLM17",16939,1079,15860,6
20220610,"TLM18",9906,2424,7482,24
20220610,"TLM19",11337,1626,9711,14
20220610,"TLM20",19019,5018,14001,26
20220610,"TLM22",6384,1730,4654,27
20220610,"TLMG5",20546,6910,13636,34
20220610,"TLZ01",11876,9381,2495,79
