"","date","rich","fitted","segment"
"1",2021-10-27,15,19.2727272727273,"segment1"
"2",2021-11-17,21,19.2727272727273,"segment1"
"3",2021-12-08,22,19.2727272727273,"segment1"
"4",2022-01-05,17,19.2727272727273,"segment1"
"5",2022-01-24,15,19.2727272727273,"segment1"
"6",2022-02-18,15,19.2727272727273,"segment1"
"7",2022-03-10,17,19.2727272727273,"segment1"
"8",2022-03-29,18,19.2727272727273,"segment1"
"9",2022-04-22,26,19.2727272727273,"segment1"
"10",2022-05-12,26,19.2727272727273,"segment1"
"11",2022-06-09,20,19.2727272727273,"segment1"
"12",2022-06-28,14,11.0909090909091,"segment2"
"13",2022-07-19,11,11.0909090909091,"segment2"
"14",2022-08-11,17,11.0909090909091,"segment2"
"15",2022-09-02,4,11.0909090909091,"segment2"
"16",2022-09-16,13,11.0909090909091,"segment2"
"17",2022-10-07,16,11.0909090909091,"segment2"
"18",2022-10-24,14,11.0909090909091,"segment2"
"19",2022-11-15,11,11.0909090909091,"segment2"
"20",2022-12-12,7,11.0909090909091,"segment2"
"21",2023-01-06,6,11.0909090909091,"segment2"
"22",2023-01-30,9,11.0909090909091,"segment2"
